Company,Market cap($B),Share Price,Pct_change,Trend,Country
Simon Property Group,56.24,150.06,0.39,up,USA
General Motors,56.22,49.3,0.59,up,USA
Hilton Worldwide,55.75,222.99,1.03,up,USA
Truist Financial,55.39,41.4,2.2,up,USA
Energy Transfer Partners,55.25,16.39,0.86,up,USA
Capital One,55.22,144.61,4.48,up,USA
Occidental Petroleum,54.97,62.0,1.31,up,USA
Mizuho Financial Group,54.87,4.33,0.23,down,Japan
Paccar,54.79,104.55,1.4,up,USA
Newmont,54.6,47.35,0.34,down,USA
Heineken,54.58,96.87,0.11,up,Netherlands
Autodesk,54.56,253.17,0.11,down,USA
Universal Music Group,54.52,29.94,0.69,down,Netherlands
Cement Roadstone Holding,54.38,79.58,0.2,up,Ireland
Edwards Lifesciences,53.93,89.5,1.64,down,USA
Wesfarmers,53.63,47.26,0.06,up,Australia
Macquarie,53.19,138.12,0.17,up,Australia
Lukoil,53.16,77.18,0.18,up,Russia
Public Storage,53.07,302.04,0.19,down,USA
Aflac,53.05,93.37,0.79,up,USA
MetLife,52.92,74.43,1.42,up,USA
Digital Realty,52.8,159.5,0.73,up,USA
Copart,52.65,54.72,1.48,down,USA
Supermicro,52.56,897.68,1.35,down,USA
Chandra Asri Petrochemical,52.54,0.61,1.29,up,Indonesia
Holcim Group,52.5,93.45,0.14,down,Switzerland
Interactive Brokers,52.49,124.66,2.51,up,USA
Volvo Group,52.41,25.99,0.0,up,Sweden
Bajaj Finance,52.25,84.5,0.07,down,India
Honda,52.22,32.49,0.31,down,Japan
DHL Group (Deutsche Post),52.16,44.17,0.86,down,Germany
Williams Companies,51.86,42.56,0.98,down,USA
Saudi Telecom Company,51.73,10.38,0.0,up,S. Arabia
American International Group,51.51,77.62,0.62,up,USA
Norfolk Southern,51.45,227.76,2.9,up,USA
Tamboran Resources,50.93,24.72,2.79,up,Australia
HCL Technologies,50.87,18.79,0.0,up,India
OCBC Bank,50.63,11.27,1.24,down,Singapore
Xiaomi,50.6,2.07,5.05,down,China
Grupo México,50.28,6.34,0.0,up,Mexico
Infineon,50.27,38.75,0.56,down,Germany
AutoZone,50.24,2941.0,0.71,up,USA
Rolls-Royce Holdings,50.12,5.89,1.11,up,UK
D. R. Horton,50.1,152.16,1.03,down,USA
BAE Systems,50.02,16.51,0.47,down,UK
Suncor Energy,50.01,38.86,1.54,up,Canada
ENI,49.53,31.17,0.26,up,Italy
Oneok,49.42,84.68,0.02,up,USA
Microchip Technology,49.4,92.09,0.56,down,USA
Ross Stores,49.39,148.08,2.41,down,USA
Vale,49.38,11.51,0.09,down,Brazil
Monster Beverage,49.13,49.86,1.91,down,USA
Japan Tobacco,49.02,27.61,0.09,up,Japan
Valero Energy,49.0,148.75,0.56,up,USA
The Trade Desk,48.95,100.09,0.61,up,USA
The Travelers Companies,48.86,213.4,0.85,up,USA
Realty Income,48.74,55.98,0.41,up,USA
GE Vernova,48.63,177.44,1.67,down,USA
Industrial Bank,48.6,2.34,0.18,down,China
Oil & Natural Gas,48.59,3.86,0.05,up,India
Manulife Financial,48.56,27.08,0.22,down,Canada
BNY Mellon (Bank of New York Mellon),48.49,65.71,1.58,up,USA
Dassault Systèmes,48.32,36.9,2.17,down,France
Axis Bank,48.24,15.61,0.28,down,India
Sempra Energy,48.1,76.02,1.34,down,USA
Compass Group,48.01,28.23,0.18,up,UK
American Electric Power,47.93,90.94,0.02,down,USA
TE Connectivity,47.82,156.18,0.24,up,Switzerland
